MSA,Year,Primary City in MSA,Primary State in MSA,Total Year-Round Beds (ES+TH)
"Charlotte-Concord-Gastonia, NC-SC MSA",2022,Charlotte,NC,1853
"Riverside-San Bernardino-Ontario, CA MSA",2013,Riverside,CA,2506
"Jacksonville, FL MSA",2014,Jacksonville,FL,1714
"Richmond, VA MSA",2021,Richmond,VA,734
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2011,Atlanta,GA,5890
"Portland-Vancouver-Hillsboro, OR-WA MSA",2012,Portland,OR,3661
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2012,Virginia Beach,VA,1470
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2019,Miami,FL,4731
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2021,Atlanta,GA,3161
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2011,Minneapolis,MN,4579
"Miami-Fort Lauderdale-Pompano Beach, FL MSA",2008,Miami,FL,6418
"Oklahoma City, OK MSA",2021,Oklahoma City,OK,631
"Seattle-Tacoma-Bellevue, WA MSA",2019,Seattle,WA,8154
"San Jose-Sunnyvale-Santa Clara, CA MSA",2020,San Jose,CA,1628
"Minneapolis-St Paul-Bloomington, MN-WI MSA",2007,Minneapolis,MN,4617
"Indianapolis-Carmel-Anderson, IN MSA",2015,Indianapolis,IN,1712
"Denver-Aurora-Lakewood, CO MSA",2013,Denver,CO,4915
"Raleigh-Cary, NC MSA",2015,Raleigh,NC,1694
"Nashville-Davidson--Murfreesboro--Franklin, TN MSA",2014,Nashville,TN,2011
"Los Angeles-Long Beach-Anaheim, CA MSA",2011,Los Angeles,CA,17879
"Charlotte-Concord-Gastonia, NC-SC MSA",2020,Charlotte,NC,1552
"Pittsburgh, PA MSA",2013,Pittsburgh,PA,1454
"Buffalo-Cheektowaga, NY MSA",2012,Buffalo,NY,971
"San Jose-Sunnyvale-Santa Clara, CA MSA",2008,San Jose,CA,1891
"Kansas City, MO-KS MSA",2019,Kansas City,KS,135
"Virginia Beach-Norfolk-Newport News, VA-NC MSA",2014,Virginia Beach,VA,1269
"Houston-The Woodlands-Sugar Land, TX MSA",2012,Houston,TX,4293
"Orlando-Kissimmee-Sanford, FL MSA",2008,Orlando,FL,2410
"Dallas-Fort Worth-Arlington, TX MSA",2011,Dallas,TX,6874
"Memphis, TN-MS-AR MSA",2008,Memphis,TN,1756
"Atlanta-Sandy Springs-Alpharetta, GA MSA",2017,Atlanta,GA,4024
